symbol,setup,side,setup_date,entry_timestamp,entry,stop,target,exit_timestamp,exit,net_pct,r,exit_reason
ITC.NS,liquidity_sweep_long,1,2024-02-16,2024-02-19 03:45:00+00:00,339.419625,328.59749999999997,371.8860000000001,2024-03-01 09:45:00+00:00,338.2,-0.5593266005169877,-0.11269736766115754,time
SBILIFE.NS,liquidity_sweep_long,1,2024-04-04,2024-04-05 03:45:00+00:00,1480.289775,1443.58,1590.4191,2024-04-15 03:45:00+00:00,1480.289775,-0.2,0.0,stop
SAIL.NS,liquidity_sweep_short,-1,2024-04-10,2024-04-12 03:45:00+00:00,151.42425,156.0875,137.43449999999999,2024-04-12 05:15:00+00:00,156.0875,-3.279592601581322,-1.0,stop
ABBOTINDIA.NS,liquidity_sweep_long,1,2024-04-19,2024-04-22 04:45:00+00:00,25797.892499999998,25071.75,27976.319999999992,2024-04-24 03:45:00+00:00,25071.75,-3.014735738587942,-1.0,stop
DRREDDY.NS,liquidity_sweep_long,1,2024-04-19,2024-04-22 04:45:00+00:00,1208.0037,1173.8625000000002,1310.4272999999994,2024-05-06 08:45:00+00:00,1251.0062500000001,3.3598028383522465,1.2595500451068038,stop
LT.NS,liquidity_sweep_long,1,2024-04-19,2024-04-22 04:15:00+00:00,3578.68845,3464.4025,3921.5463,2024-05-06 04:15:00+00:00,3464.4025,-3.393514931426902,-1.0,stop
PIDILITIND.NS,liquidity_sweep_long,1,2024-04-19,2024-04-22 04:45:00+00:00,1440.41985,1399.37,1563.5694000000003,2024-05-02 04:15:00+00:00,1514.475,4.941219763112811,1.8040297345788041,stop
ABBOTINDIA.NS,liquidity_sweep_long,1,2024-04-25,2024-04-26 05:15:00+00:00,25342.664999999997,24576.75,27640.40999999999,2024-05-10 09:45:00+00:00,25770.0,1.4862275534163547,0.5579405025361879,time
TITAGARH.NS,liquidity_sweep_short,-1,2024-04-26,2024-04-29 04:45:00+00:00,1032.4835,1064.2475,937.1915000000004,2024-05-02 03:45:00+00:00,1064.2475,-3.2764656287485363,-1.0,stop
LT.NS,liquidity_sweep_long,1,2024-05-13,2024-05-14 05:15:00+00:00,3320.6094749999997,3217.5625,3629.750399999999,2024-05-24 03:45:00+00:00,3629.750399999999,9.109764587719225,3.0,target
GICRE.NS,liquidity_sweep_short,-1,2024-05-23,2024-05-24 03:45:00+00:00,351.57412500000004,363.4175,316.0440000000001,2024-06-03 06:45:00+00:00,351.57412500000004,-0.2,-0.0,stop
BANDHANBNK.NS,liquidity_sweep_short,-1,2024-07-30,2024-07-31 03:45:00+00:00,215.4922,222.8925,193.29129999999995,2024-08-13 03:45:00+00:00,193.29129999999995,10.102414658163983,3.0,target
SAMMAANCAP.NS,liquidity_sweep_short,-1,2024-08-22,2024-08-23 03:45:00+00:00,173.89301,179.865,155.97704,2024-09-05 08:15:00+00:00,166.0425,4.314563293832233,1.3145551147942323,stop
POWERGRID.NS,liquidity_sweep_long,1,2024-08-29,2024-08-30 04:15:00+00:00,337.51867500000003,328.1175,365.7222000000001,2024-09-06 04:15:00+00:00,328.1175,-2.985379209017108,-1.0,stop
IOC.NS,liquidity_sweep_short,-1,2024-09-02,2024-09-03 04:45:00+00:00,167.85603,172.404,154.21212000000003,2024-09-05 05:15:00+00:00,172.404,-2.909446899226672,-1.0,stop
ASAHIINDIA.NS,liquidity_sweep_short,-1,2024-09-05,2024-09-06 04:15:00+00:00,677.910875,700.7625,609.356,2024-09-09 09:15:00+00:00,700.7625,-3.570889278033785,-1.0,stop
JKTYRE.NS,liquidity_sweep_short,-1,2024-09-05,2024-09-06 03:45:00+00:00,416.49165,428.8925,379.2891,2024-09-10 03:45:00+00:00,428.8925,-3.1774546500512058,-1.0,stop
SRF.NS,liquidity_sweep_short,-1,2024-09-05,2024-09-06 03:45:00+00:00,2581.2087500000002,2654.895,2360.150000000001,2024-09-19 09:45:00+00:00,2405.0,6.626598197453043,2.3913382754584585,time
BEL.NS,liquidity_sweep_long,1,2024-09-09,2024-09-10 04:45:00+00:00,284.89237499999996,275.085,314.3144999999999,2024-09-19 04:15:00+00:00,275.085,-3.642484201270736,-1.0,stop
POWERGRID.NS,liquidity_sweep_long,1,2024-09-09,2024-09-10 03:45:00+00:00,332.66625,322.975,361.7399999999999,2024-09-23 09:45:00+00:00,341.95,2.590709908203792,0.9579517606087995,time
ADANIENT.NS,liquidity_sweep_long,1,2024-09-19,2024-09-20 04:15:00+00:00,2886.4424999999997,2796.805,3155.354999999999,2024-10-01 04:15:00+00:00,3019.7625,4.418834430271872,1.4873239436619767,stop
JSWSTEEL.NS,liquidity_sweep_short,-1,2024-09-24,2024-09-25 04:15:00+00:00,983.20815,1011.8425,897.3051000000003,2024-09-27 03:45:00+00:00,1011.8425,-3.1123385521163476,-1.0,stop
M&M.NS,liquidity_sweep_short,-1,2024-09-27,2024-09-30 04:15:00+00:00,3130.384025,3228.0299999999997,2837.4461,2024-10-08 04:45:00+00:00,3130.384025,-0.2,-0.0,stop
TATASTEEL.NS,liquidity_sweep_short,-1,2024-09-30,2024-10-01 04:15:00+00:00,162.488715,166.61100000000002,150.12186,2024-10-09 04:45:00+00:00,157.7475,2.7178734043161157,1.150142457399235,stop
NH.NS,liquidity_sweep_long,1,2024-11-05,2024-11-06 04:15:00+00:00,1220.61,1181.6875,1337.3774999999996,2024-11-13 03:45:00+00:00,1270.54375,3.890884885426151,1.282901920483018,stop
LTTS.NS,liquidity_sweep_short,-1,2024-11-26,2024-11-27 03:45:00+00:00,5423.586850000001,5562.765,5006.052400000001,2024-12-10 05:45:00+00:00,5423.586850000001,-0.2,-0.0,stop
SUNPHARMA.NS,liquidity_sweep_long,1,2024-11-28,2024-11-29 03:45:00+00:00,1766.332725,1719.3325,1907.3334,2024-12-12 09:45:00+00:00,1804.65,1.9693124096990335,0.8152572673854244,time
CANFINHOME.NS,liquidity_sweep_long,1,2024-12-09,2024-12-10 03:45:00+00:00,819.859725,792.9875,900.4764000000002,2024-12-13 04:45:00+00:00,792.9875,-3.4776613096831985,-1.0,stop
APLAPOLLO.NS,liquidity_sweep_short,-1,2024-12-10,2024-12-11 04:45:00+00:00,1607.4458750000001,1650.8049999999998,1477.368500000001,2024-12-24 09:45:00+00:00,1513.6,5.6381981290661,2.1643858126749747,time
IREDA.NS,liquidity_sweep_short,-1,2024-12-11,2024-12-12 03:45:00+00:00,221.30929,228.5285,199.65166,2024-12-19 09:15:00+00:00,212.61124999999998,3.7302642921135485,1.2048465136767064,stop
M&MFIN.NS,liquidity_sweep_long,1,2024-12-26,2024-12-27 03:45:00+00:00,249.474675,242.73749999999998,269.6862,2025-01-09 09:45:00+00:00,259.7,3.8987426880103158,1.5177466816581113,time
MSUMI.NS,liquidity_sweep_long,1,2024-12-31,2025-01-01 03:45:00+00:00,39.089535,38.248999999999995,41.611140000000006,2025-01-06 03:45:00+00:00,39.089535,-0.2,0.0,stop
EICHERMOT.NS,liquidity_sweep_short,-1,2025-01-03,2025-01-06 05:15:00+00:00,5239.379,5393.76,4776.235999999999,2025-01-17 09:45:00+00:00,5021.25,3.9632605696209398,1.4129264611577814,time
MUTHOOTFIN.NS,liquidity_sweep_short,-1,2025-01-03,2025-01-06 03:45:00+00:00,2212.99295,2281.43,2007.6817999999998,2025-01-16 04:15:00+00:00,2212.99295,-0.2,-0.0,stop
KPITTECH.NS,liquidity_sweep_long,1,2025-01-17,2025-01-20 04:45:00+00:00,1334.817075,1295.8125,1451.8307999999997,2025-01-22 03:45:00+00:00,1295.8125,-3.1220914034231946,-1.0,stop
BATAINDIA.NS,liquidity_sweep_long,1,2025-01-28,2025-01-29 03:45:00+00:00,1220.61,1183.6625,1331.4524999999999,2025-02-01 08:45:00+00:00,1331.4524999999999,8.880910364489885,3.0,target
TATACHEM.NS,liquidity_sweep_short,-1,2025-04-24,2025-04-25 03:45:00+00:00,851.623975,877.0725,775.2783999999999,2025-04-29 03:45:00+00:00,851.623975,-0.2,-0.0,stop
INOXWIND.NS,liquidity_sweep_short,-1,2025-05-28,2025-05-29 03:45:00+00:00,189.44523,195.237,172.06992000000005,2025-06-02 03:45:00+00:00,195.237,-3.257226619007502,-1.0,stop
APTUS.NS,liquidity_sweep_long,1,2025-06-05,2025-06-06 04:15:00+00:00,310.60522499999996,302.6925,334.34339999999986,2025-06-11 08:15:00+00:00,322.03125,3.4786325793457076,1.4440063315735208,stop
BAJAJFINSV.NS,liquidity_sweep_long,1,2025-06-05,2025-06-06 05:15:00+00:00,1985.89245,1924.385,2170.4148000000005,2025-06-11 03:45:00+00:00,1985.89245,-0.2,0.0,stop
CASTROLIND.NS,liquidity_sweep_short,-1,2025-06-10,2025-06-11 04:15:00+00:00,207.486205,212.833,191.44582000000005,2025-06-16 08:15:00+00:00,200.8125,3.0164572097696865,1.2481692303520202,stop
LTF.NS,liquidity_sweep_short,-1,2025-06-10,2025-06-11 03:45:00+00:00,190.9045,197.5565,170.94850000000005,2025-06-24 04:45:00+00:00,197.5565,-3.684464745461729,-1.0,stop
MINDACORP.NS,liquidity_sweep_short,-1,2025-06-11,2025-06-12 04:15:00+00:00,567.01635,586.6175,508.2129000000001,2025-06-18 04:15:00+00:00,547.4152,3.2568932624253177,1.0,stop
DEVYANI.NS,liquidity_sweep_long,1,2025-06-16,2025-06-17 04:45:00+00:00,167.67379499999998,163.0765,181.4656799999999,2025-06-19 06:45:00+00:00,167.67379499999998,-0.2,0.0,stop
NUVOCO.NS,liquidity_sweep_long,1,2025-06-23,2025-06-24 04:45:00+00:00,343.7718,334.685,371.03219999999993,2025-07-07 06:15:00+00:00,352.9375,2.4662163679510694,1.00868292468196,stop
ASTERDM.NS,liquidity_sweep_short,-1,2025-06-26,2025-06-27 03:45:00+00:00,589.4551250000001,608.2275000000001,533.138,2025-07-03 03:45:00+00:00,608.2275000000001,-3.3846995986335706,-1.0,stop
LUPIN.NS,liquidity_sweep_long,1,2025-06-26,2025-06-27 05:15:00+00:00,1949.1741,1906.795,2076.3113999999996,2025-07-01 05:45:00+00:00,1906.795,-2.374208040215591,-1.0,stop
BOSCHLTD.NS,liquidity_sweep_short,-1,2025-06-30,2025-07-01 04:45:00+00:00,32358.8125,32943.5,30604.75,2025-07-03 04:15:00+00:00,32943.5,-2.0068879999845484,-1.0,stop
SOLARINDS.NS,liquidity_sweep_short,-1,2025-06-30,2025-07-01 04:45:00+00:00,17416.287500000002,17857.3,16093.250000000011,2025-07-10 07:15:00+00:00,16093.250000000011,7.396552939310349,3.0,target
TATASTEEL.NS,liquidity_sweep_short,-1,2025-07-03,2025-07-04 03:45:00+00:00,163.49821000000003,169.0555,146.82634000000013,2025-07-17 09:45:00+00:00,159.97,1.9579502307701284,0.6348795905918264,time
LODHA.NS,liquidity_sweep_long,1,2025-07-08,2025-07-09 05:15:00+00:00,1390.695,1348.21,1518.1499999999996,2025-07-22 09:45:00+00:00,1444.0,3.6329755985316745,1.2546781216900127,time
IREDA.NS,liquidity_sweep_long,1,2025-07-14,2025-07-15 05:15:00+00:00,160.410165,156.1035,173.33016000000003,2025-07-21 03:45:00+00:00,156.1035,-2.8847830996246464,-1.0,stop
AXISBANK.NS,liquidity_sweep_long,1,2025-07-21,2025-07-22 04:45:00+00:00,1107.5535,1070.19,1219.6439999999998,2025-07-28 08:15:00+00:00,1070.19,-3.5735164937856214,-1.0,stop
SONACOMS.NS,liquidity_sweep_short,-1,2025-07-21,2025-07-22 03:45:00+00:00,483.10832500000004,497.4275,440.1508000000001,2025-07-23 07:15:00+00:00,483.10832500000004,-0.2,-0.0,stop
AARTIIND.NS,liquidity_sweep_long,1,2025-07-23,2025-07-24 04:15:00+00:00,430.965375,416.5525,474.20399999999995,2025-07-31 04:15:00+00:00,430.965375,-0.2,0.0,stop
CANBK.NS,liquidity_sweep_long,1,2025-07-23,2025-07-24 03:45:00+00:00,105.482715,102.67949999999999,113.89236000000002,2025-07-30 06:15:00+00:00,105.482715,-0.2,0.0,stop
JSWINFRA.NS,liquidity_sweep_short,-1,2025-07-23,2025-07-24 03:45:00+00:00,319.44020000000006,329.1225,290.39330000000024,2025-08-06 09:45:00+00:00,300.0,5.885708686633698,2.0078080621340155,time
KEC.NS,liquidity_sweep_long,1,2025-07-23,2025-07-24 03:45:00+00:00,878.439,849.93,963.966,2025-08-01 06:45:00+00:00,849.93,-3.4454160163653955,-1.0,stop
TIMKEN.NS,liquidity_sweep_short,-1,2025-07-23,2025-07-24 03:45:00+00:00,3474.36195,3583.445,3147.1127999999994,2025-08-01 09:15:00+00:00,3147.1127999999994,9.218971158143168,3.0,target
ITC.NS,liquidity_sweep_long,1,2025-07-30,2025-07-31 04:15:00+00:00,390.645225,386.48,403.1408999999999,2025-08-05 03:45:00+00:00,395.475,1.036358386308201,1.1595472033323728,stop
BLUEDART.NS,liquidity_sweep_long,1,2025-08-07,2025-08-08 03:45:00+00:00,5855.9265,5710.225,6293.030999999997,2025-08-22 09:45:00+00:00,5802.0,-1.1208875828615605,-0.3701162994203894,time
GAIL.NS,liquidity_sweep_long,1,2025-08-07,2025-08-08 03:45:00+00:00,165.62276999999997,161.907,176.77007999999987,2025-08-22 09:45:00+00:00,170.97,3.0285596962301895,1.4390637741302816,time
BAJAJ-AUTO.NS,liquidity_sweep_short,-1,2025-08-20,2025-08-21 03:45:00+00:00,8740.6275,8887.025,8301.435000000003,2025-08-25 03:45:00+00:00,8740.6275,-0.2,-0.0,stop
APOLLOTYRE.NS,liquidity_sweep_short,-1,2025-08-25,2025-08-26 03:45:00+00:00,457.27125,472.39750000000004,411.8924999999999,2025-09-02 03:45:00+00:00,472.39750000000004,-3.5079381220665042,-1.0,stop
AUBANK.NS,liquidity_sweep_long,1,2025-09-05,2025-09-08 04:15:00+00:00,701.4005249999999,680.53,764.0120999999997,2025-09-19 09:45:00+00:00,716.65,1.9741465049516578,0.7306704071890922,time
SCHAEFFLER.NS,liquidity_sweep_long,1,2025-09-05,2025-09-08 05:15:00+00:00,3877.9379999999996,3761.57,4227.041999999998,2025-09-19 09:45:00+00:00,4135.0,6.428832126764285,2.209043723360387,time
AMBUJACEM.NS,liquidity_sweep_long,1,2025-09-11,2025-09-12 04:45:00+00:00,567.133425,548.0725,624.3162,2025-09-25 09:45:00+00:00,580.95,2.236212430963676,0.7248638248143812,time
IFCI.NS,liquidity_sweep_short,-1,2025-09-18,2025-09-19 03:45:00+00:00,58.420775000000006,60.375,52.558100000000024,2025-09-19 05:45:00+00:00,60.375,-3.5450857165109393,-1.0,stop
BIOCON.NS,liquidity_sweep_short,-1,2025-09-19,2025-09-22 03:45:00+00:00,365.56712500000003,374.62,338.4085000000001,2025-09-26 08:45:00+00:00,338.4085000000001,7.229175968708869,3.0,target
DLF.NS,liquidity_sweep_long,1,2025-09-30,2025-10-01 03:45:00+00:00,722.8612499999999,707.1925,769.8674999999997,2025-10-15 09:45:00+00:00,756.7,4.481223402139777,2.1596330275229527,time
ENGINERSIN.NS,liquidity_sweep_long,1,2025-09-30,2025-10-01 03:45:00+00:00,197.0985,190.618,216.54000000000002,2025-10-14 07:15:00+00:00,197.0985,-0.2,0.0,stop
ESCORTS.NS,liquidity_sweep_long,1,2025-09-30,2025-10-01 04:45:00+00:00,3516.6574499999997,3394.17,3884.1197999999986,2025-10-07 03:45:00+00:00,3516.6574499999997,-0.2,0.0,stop
ICICIBANK.NS,liquidity_sweep_long,1,2025-09-30,2025-10-01 04:15:00+00:00,1365.6825,1340.975,1439.8049999999998,2025-10-15 09:45:00+00:00,1399.0,2.2396226795027476,1.348477183041592,time
JSL.NS,liquidity_sweep_long,1,2025-09-30,2025-10-01 04:15:00+00:00,752.7761999999999,727.5275,828.5222999999995,2025-10-07 06:45:00+00:00,752.7761999999999,-0.2,0.0,stop
